case_id,case_date,court,text,problem_type,favours
30636d86-b94e-4df6-a5ee-65a42c6b59e2,08-04-2006,Karnataka High Court,Party B claims adverse possession after staying 15 years without objection Third-party buyers are involved.,Adverse Possession,Party B
daca1e9c-5e7f-4241-a004-92f037d41e64,04-06-2019,Gujarat High Court,Party B claims adverse possession after staying 15 years without objection Dispute went to court.,Adverse Possession,Party B
e76154b5-2798-4d9e-9c54-82d2aa862cb8,20-07-2016,Madras High Court,Party A's boundary wall is built beyond the survey limits causing conflicts Case is pending investigation.,Boundary Dispute,Party B
1ff2d648-218c-4698-a90f-8a81b61b5b9d,30-11-2011,Punjab and Haryana High Court,Government acquired Party A's land without fair compensation Additional evidence was submitted.,Land Acquisition Issue,Party A
13d13390-8d1d-47ea-bfe0-bce5987c275a,05-12-2016,Madras High Court,Family members are contesting Party A's inherited property rights,Inheritance Dispute,Party B
d52f61c5-5ec4-472b-b7e3-5692eac6f03e,27-03-2012,Madras High Court,Government acquired Party A's land without fair compensation Survey reports were inconclusive.,Land Acquisition Issue,Party A
de83ac6f-bef6-4bb4-b0a5-66f91c89325d,22-10-2018,Bombay High Court,The ownership of the land is challenged by Party B due to missing title documents Survey reports were inconclusive.,Ownership Dispute,Party B
98bb3093-b899-4182-8ec5-052c0236c762,28-04-2017,Bombay High Court,Party A is operating a commercial shop in a residential land zone,Zoning Law Violation,Party B
8b069818-d047-4902-a45b-08d2fa15bf1d,09-06-2000,Delhi High Court,Party B illegally constructed a building on Party A's farmland Third-party buyers are involved.,Illegal Encroachment,Party A
7c78af6a-513a-45dd-844f-b8f75d5ce1bb,17-04-2004,Kerala High Court,Party A is operating a commercial shop in a residential land zone,Zoning Law Violation,Party B
0ac55630-6bc7-4dd3-afb3-3a944f986ca9,14-09-2019,Gujarat High Court,Party B registered the sale deed without paying full stamp duty Case is pending investigation.,Stamp Duty Fraud,Party A
06249734-16f7-4593-9843-c17dd0488b33,31-03-2010,Bombay High Court,Party A's boundary wall is built beyond the survey limits causing conflicts Third-party buyers are involved.,Boundary Dispute,Party B
1088a13f-ac24-47ca-a77d-8620d5108de1,14-01-2004,Delhi High Court,Party A is operating a commercial shop in a residential land zone Local authorities intervened.,Zoning Law Violation,Party B
f8203b7c-7542-48c6-a07c-cb99d312be1f,16-09-2002,Kerala High Court,Family members are contesting Party A's inherited property rights Dispute went to court.,Inheritance Dispute,Party B
fcc1abf1-3f5b-4cd5-bea4-fd263ff08e4a,17-10-2004,Kerala High Court,Party A sold the land without having the original property documents Case is pending investigation.,Fraudulent Sale,Party B
760253c9-a221-4c40-a3f2-16e463506ada,28-02-2016,Gujarat High Court,Party B illegally constructed a building on Party A's farmland,Illegal Encroachment,Party A
4f3dadf6-9962-497d-9cfb-41b32264f9aa,10-10-2013,Bombay High Court,Party A sold the land without having the original property documents Additional evidence was submitted.,Fraudulent Sale,Party B
c2b2576b-192c-4b9a-8c01-6eb637e63833,27-07-2000,Gujarat High Court,Party A's boundary wall is built beyond the survey limits causing conflicts,Boundary Dispute,Party B
51adaeb7-6713-400f-ac66-e94a7c44fe75,05-05-2023,Madras High Court,Party B failed to repay the mortgage leading to bank claiming land Third-party buyers are involved.,Mortgage Default,Party A
6755787e-1071-4797-a95f-b4a6582a2439,06-02-2012,Punjab and Haryana High Court,Party B failed to repay the mortgage leading to bank claiming land Case is pending investigation.,Mortgage Default,Party A
cb7bed52-3ac0-4eeb-88a9-15d30e866d63,04-01-2015,Delhi High Court,Party B claims adverse possession after staying 15 years without objection Survey reports were inconclusive.,Adverse Possession,Party B
b464c86d-e396-40da-8642-807ff40cd3ae,22-06-2010,Kerala High Court,Government acquired Party A's land without fair compensation Case is pending investigation.,Land Acquisition Issue,Party A
70e22f6d-5e14-4572-8fa3-aa8b45ad7a7d,31-12-2022,Gujarat High Court,Party A's boundary wall is built beyond the survey limits causing conflicts Case is pending investigation.,Boundary Dispute,Party B
fb83d217-62be-4f79-9388-647d345c9d9e,07-12-2008,Delhi High Court,Party A is operating a commercial shop in a residential land zone Case is pending investigation.,Zoning Law Violation,Party B
6155a5dc-068c-4041-a070-e63be845374e,26-06-2022,Madras High Court,Party A's boundary wall is built beyond the survey limits causing conflicts Additional evidence was submitted.,Boundary Dispute,Party B
b9719d9e-7a74-4105-97d2-7dbcdeff54cb,06-02-2001,Madras High Court,Party B failed to repay the mortgage leading to bank claiming land Local authorities intervened.,Mortgage Default,Party A
035e18f7-71a7-465b-b2dc-17330162b845,17-02-2000,Kerala High Court,Party A sold the land without having the original property documents Survey reports were inconclusive.,Fraudulent Sale,Party B
c9852160-0b7d-4e0a-9119-29094d3c8430,25-10-2019,Kerala High Court,Power of attorney given by Party A was misused by Party B to sell the land,Power of Attorney Misuse,Party A
c092a810-6c01-4e93-b035-ef5b5418e072,05-12-2014,Punjab and Haryana High Court,Party B failed to repay the mortgage leading to bank claiming land Survey reports were inconclusive.,Mortgage Default,Party A
9e1f1507-8c42-4ef6-b6e7-2e6c860385b8,17-08-2003,Bombay High Court,Party A is blocking Party B's right of way through the property Dispute went to court.,Easement Issue,Party B
cba9a3d2-448e-454c-8163-5c6922bbfcab,07-01-2002,Bombay High Court,Party B illegally constructed a building on Party A's farmland Dispute went to court.,Illegal Encroachment,Party A
8f77da3c-6115-4904-b94b-134a94aed492,04-09-2013,Kerala High Court,Boundary pillars were moved by Party B to extend their property Dispute went to court.,Boundary Dispute,Party A
e55e1f1c-fd19-44b3-98ca-efab2beefa9b,25-09-2014,Gujarat High Court,Government acquired Party A's land without fair compensation Third-party buyers are involved.,Land Acquisition Issue,Party A
a11d463b-5ae3-44e7-aac2-4d75a0766d1b,04-09-2018,Karnataka High Court,Party A bought land but the developer did not build promised facilities Third-party buyers are involved.,Fraud by Developer,Party A
fdf96d1b-5d39-4203-ba14-ec29c86faffd,02-08-2010,Madras High Court,Party A is blocking Party B's right of way through the property Local authorities intervened.,Easement Issue,Party B
ac728e77-52d6-45c0-9068-e9697c12a4f9,09-10-2015,Calcutta High Court,The title deed has errors in names which Party A is trying to correct,Title Defect,Party A
5790cce2-a350-4a63-a1f6-2b4a160ab423,17-10-2016,Kerala High Court,Power of attorney given by Party A was misused by Party B to sell the land Dispute went to court.,Power of Attorney Misuse,Party A
94068982-4e64-40fa-8006-397355526199,07-02-2007,Gujarat High Court,Government acquired Party A's land without fair compensation Local authorities intervened.,Land Acquisition Issue,Party A
b688c4be-6ee7-420e-9986-170b48358355,07-10-2021,Punjab and Haryana High Court,Government acquired Party A's land without fair compensation Dispute went to court.,Land Acquisition Issue,Party A
88908c6f-8266-4e2f-87c4-4f05accd391f,01-03-2020,Calcutta High Court,Party B claims adverse possession after staying 15 years without objection Survey reports were inconclusive.,Adverse Possession,Party B
99b75573-bd78-41d4-af3e-af74ca4d19d8,02-07-2019,Calcutta High Court,Party A polluted the nearby farmland affecting Party B's crops Local authorities intervened.,Environmental Dispute,Party B
3055566b-8caf-456d-82b5-e9e6fcfd8f8f,24-09-2019,Madras High Court,The ownership of the land is challenged by Party B due to missing title documents Survey reports were inconclusive.,Ownership Dispute,Party B
3ba4439f-a932-4846-b9e9-34391898cab5,15-03-2004,Bombay High Court,Party B claims adverse possession after staying 15 years without objection Survey reports were inconclusive.,Adverse Possession,Party B
a941f210-de2a-4c3c-b7cb-aae7e21683f7,20-06-2013,Bombay High Court,Party A is operating a commercial shop in a residential land zone Case is pending investigation.,Zoning Law Violation,Party B
e321a8b4-12cf-4ca3-ae1d-d54996ef79dc,05-10-2001,Karnataka High Court,Party B illegally constructed a building on Party A's farmland Local authorities intervened.,Illegal Encroachment,Party A
4682db67-8c10-4365-90f0-a1856051b285,12-01-2021,Kerala High Court,Party A is blocking Party B's right of way through the property Additional evidence was submitted.,Easement Issue,Party B
09605b07-1fbd-4383-a9b5-3ba97b96b2d3,20-02-2025,Bombay High Court,Party A is operating a commercial shop in a residential land zone,Zoning Law Violation,Party B
94641850-9184-45cd-beba-bbf8b0d111a1,22-11-2004,Delhi High Court,The title deed has errors in names which Party A is trying to correct Survey reports were inconclusive.,Title Defect,Party A
744f693e-c0b2-4820-8d8e-5ed4b874bf5f,23-08-2012,Kerala High Court,Party A is operating a commercial shop in a residential land zone Local authorities intervened.,Zoning Law Violation,Party B
52a674dc-080a-469c-8fc9-fc905df4b9ea,30-07-2012,Gujarat High Court,Party A's boundary wall is built beyond the survey limits causing conflicts Additional evidence was submitted.,Boundary Dispute,Party B
852d2c9a-f9d4-4157-b1ab-c562f633708b,30-05-2017,Punjab and Haryana High Court,Party B failed to repay the mortgage leading to bank claiming land Dispute went to court.,Mortgage Default,Party A
05c2f06f-1cf2-4133-b5d0-993b9202fc6b,15-10-2019,Calcutta High Court,Party A sold the land without having the original property documents Third-party buyers are involved.,Fraudulent Sale,Party B
888d36d1-6e33-4d29-a0bf-4956648c7bcd,26-03-2002,Madras High Court,Party A bought land but the developer did not build promised facilities,Fraud by Developer,Party A
14d9134e-0aa6-462e-bcc9-498b79b17165,07-11-2005,Bombay High Court,Party B failed to repay the mortgage leading to bank claiming land Additional evidence was submitted.,Mortgage Default,Party A
39691fae-5385-473d-88fb-b7041105781e,04-05-2024,Punjab and Haryana High Court,Party A is blocking Party B's right of way through the property Local authorities intervened.,Easement Issue,Party B
dce29e20-745c-47e8-9d4a-9b0e07683d18,30-03-2018,Kerala High Court,Party A's boundary wall is built beyond the survey limits causing conflicts Additional evidence was submitted.,Boundary Dispute,Party B
3ec08bc3-03ed-4083-92e0-0f95bc044f67,12-05-2001,Calcutta High Court,Party A is blocking Party B's right of way through the property Dispute went to court.,Easement Issue,Party B
2bc55eba-8ae6-4fc2-9cf6-92c6809f69f4,30-01-2006,Calcutta High Court,Party A sold the land without having the original property documents Case is pending investigation.,Fraudulent Sale,Party B
e08cfa56-6ba0-416c-aeb2-4de42581ea74,03-10-2009,Karnataka High Court,Party A bought land but the developer did not build promised facilities Case is pending investigation.,Fraud by Developer,Party A
598f94f5-fa36-4292-850d-dafd5c26c9e3,31-01-2022,Bombay High Court,Party A's boundary wall is built beyond the survey limits causing conflicts Third-party buyers are involved.,Boundary Dispute,Party B
abe9ce1e-552b-4b89-bce9-7f1489bd59da,24-09-2001,Punjab and Haryana High Court,Power of attorney given by Party A was misused by Party B to sell the land Dispute went to court.,Power of Attorney Misuse,Party A
90687f8a-82d7-4619-974b-26533ec8db77,20-12-2000,Delhi High Court,Party B failed to repay the mortgage leading to bank claiming land Third-party buyers are involved.,Mortgage Default,Party A
c4321b70-7d1e-4f4e-b9a4-826026591996,21-11-2018,Kerala High Court,Government acquired Party A's land without fair compensation Third-party buyers are involved.,Land Acquisition Issue,Party A
9e213284-3cf0-4c6d-824a-789c00c003be,08-08-2010,Karnataka High Court,Family members are contesting Party A's inherited property rights Third-party buyers are involved.,Inheritance Dispute,Party B
8695c6ae-410f-4463-aa80-ba1201ef1914,06-10-2014,Bombay High Court,Party B registered the sale deed without paying full stamp duty Third-party buyers are involved.,Stamp Duty Fraud,Party A
e95b84eb-68d7-42f4-90c1-87778b85f3ac,01-05-2000,Delhi High Court,The ownership of the land is challenged by Party B due to missing title documents Third-party buyers are involved.,Ownership Dispute,Party B
605e1654-9cb0-4131-b967-2f104a1db195,16-09-2021,Delhi High Court,Boundary pillars were moved by Party B to extend their property Survey reports were inconclusive.,Boundary Dispute,Party A
54f65104-0833-45bb-9449-77f9508654ec,21-07-2019,Madras High Court,Party A polluted the nearby farmland affecting Party B's crops Case is pending investigation.,Environmental Dispute,Party B
fe900807-3ded-46dd-a3ef-5ce6a8e90ce3,07-07-2011,Punjab and Haryana High Court,Party A polluted the nearby farmland affecting Party B's crops Local authorities intervened.,Environmental Dispute,Party B
dd2b1576-c0cf-49da-bd06-cb1da60aa1af,30-10-2015,Madras High Court,The ownership of the land is challenged by Party B due to missing title documents Survey reports were inconclusive.,Ownership Dispute,Party B
0f995a78-30e0-4b26-9245-bde9987abfd5,27-07-2007,Kerala High Court,The title deed has errors in names which Party A is trying to correct Dispute went to court.,Title Defect,Party A
acc1d93a-29ef-416c-a8d2-80e40ec76f42,08-03-2021,Punjab and Haryana High Court,Party B illegally constructed a building on Party A's farmland Third-party buyers are involved.,Illegal Encroachment,Party A
17d9ec35-79ad-4842-b51a-376b3c4d57a7,26-11-2014,Karnataka High Court,Party B claims adverse possession after staying 15 years without objection,Adverse Possession,Party B
94b83cfc-3960-407b-8b29-0763022e32a7,14-05-2005,Madras High Court,Party A is operating a commercial shop in a residential land zone Survey reports were inconclusive.,Zoning Law Violation,Party B
89d9706a-f764-4917-85cc-99fe09bba030,19-11-2024,Madras High Court,Party A bought land but the developer did not build promised facilities Survey reports were inconclusive.,Fraud by Developer,Party A
9e74a6d9-ff92-408a-abe3-4ec4ea553adc,15-04-2010,Kerala High Court,Party B claims adverse possession after staying 15 years without objection Additional evidence was submitted.,Adverse Possession,Party B
6086357b-0fe3-4222-a3a8-30e46de1d089,25-06-2010,Gujarat High Court,Party B claims adverse possession after staying 15 years without objection Survey reports were inconclusive.,Adverse Possession,Party B
cf6cd293-ec1a-4a6e-81c9-6f44b6270bb4,21-12-2008,Delhi High Court,Party B illegally constructed a building on Party A's farmland Survey reports were inconclusive.,Illegal Encroachment,Party A
234fedaf-b8c5-41f7-9450-d6b6a3982c3b,05-05-2023,Gujarat High Court,Party A sold the land without having the original property documents Dispute went to court.,Fraudulent Sale,Party B
c89802df-7eb2-469c-a836-c64e6ff5dd76,04-10-2021,Bombay High Court,Party B illegally constructed a building on Party A's farmland,Illegal Encroachment,Party A
62f74ef2-bf86-41f4-a6ab-5fe4828af1cb,14-07-2018,Calcutta High Court,The title deed has errors in names which Party A is trying to correct Survey reports were inconclusive.,Title Defect,Party A
8afbe5e8-9aee-494c-b8fd-7ee3b9829c17,15-02-2008,Bombay High Court,Power of attorney given by Party A was misused by Party B to sell the land Third-party buyers are involved.,Power of Attorney Misuse,Party A
963f169d-62da-4749-b380-9670d2491b4d,21-08-2019,Gujarat High Court,Party A polluted the nearby farmland affecting Party B's crops Additional evidence was submitted.,Environmental Dispute,Party B
762be7d1-8728-4cd6-9dff-56c0c2c11795,14-06-2023,Bombay High Court,Party A sold the land without having the original property documents Additional evidence was submitted.,Fraudulent Sale,Party B
eb2cfa5e-f9b1-463a-89d8-c85bcb950618,17-06-2002,Delhi High Court,Party A bought land but the developer did not build promised facilities Local authorities intervened.,Fraud by Developer,Party A
957c1f09-17be-4d1b-9c2a-b43deda371ff,05-05-2004,Madras High Court,The ownership of the land is challenged by Party B due to missing title documents,Ownership Dispute,Party B
